VentaID;Factura;Fecha_Orden;Fecha_Entrega;Fecha_Envio;Estado;Cliente_Code;Tipo_Cliente;Nombres;Apellidos;Vendedor;Departamento;Metodo_Pago;Subtotal;updated_at
58912;SO58912;30/10/2024;12/11/2024;11/11/2024;5;29927 - 18229695;SC;Jeffrey;Kung;Ranjit Varkey Chudukatil;Áncash;Debito/Credito;323.994;13/01/2025
49453;SO49453;28/01/2024;09/02/2024;10/02/2024;5;29494 - 11876780;SC;Samuel;Agcaoili;Jae Pak;;Debito/Credito;1242.8518;13/01/2025
50709;SO50709;30/04/2024;13/05/2024;12/05/2024;5;29494 - 11876780;SC;Samuel;Agcaoili;Jae Pak;Ica;Debito/Credito;2458.9178;13/01/2025
53543;SO53543;31/07/2024;12/08/2024;12/08/2024;5;29494 - 11876780;SC;Samuel;Agcaoili;Jae Pak;Ica;Debito/Credito;46.968;13/01/2025
58983;SO58983;30/10/2024;12/11/2024;11/11/2024;5;29494 - 11876780;SC;Samuel;Agcaoili;Jae Pak;Ica;Debito/Credito;818.7;13/01/2025
65166;SO65166;29/01/2025;11/02/2025;10/02/2025;5;29494 - 11876780;SC;Samuel;Agcaoili;Jae Pak;Ica;Debito/Credito;26.724;13/01/2025
49454;SO49454;28/01/2024;09/02/2024;09/02/2024;5;29803 - 22905519;SC;Hattie;Haemon;Jae Pak;Ica;Debito/Credito;6192.8825;13/01/2025
50667;SO50667;30/04/2024;12/05/2024;12/05/2024;5;29803 - 22905519;SC;Hattie;Haemon;Jae Pak;Ica;Debito/Credito;11443.227;13/01/2025
53463;SO53463;31/07/2024;12/08/2024;12/08/2024;5;29803 - 22905519;SC;Hattie;Haemon;Jae Pak;Ica;Debito/Credito;2901.9075;13/01/2025
58913;SO58913;30/10/2024;11/11/2024;11/11/2024;5;29803 - 22905519;SC;Hattie;Haemon;Jae Pak;Ica;Debito/Credito;8387.946;13/01/2025
65171;SO65171;29/01/2025;04/02/2025;04/02/2025;5;29803 - 22905519;SC;Hattie;Haemon;Jae Pak;Ica;Debito/Credito;4718.898;13/01/2025
49495;SO49495;28/01/2024;09/02/2024;09/02/2024;5;29484 - 79931279;SC;Gustavo;Achong;Tsvi Reiter;Cusco;Debito/Credito;24232.7654;13/01/2025
50756;SO50756;30/04/2024;12/05/2024;12/05/2024;5;29484 - 79931279;SC;Gustavo;Achong;Tsvi Reiter;Cusco;Debito/Credito;37643.0609;13/01/2025
49455;SO49455;28/01/2024;09/02/2024;09/02/2024;5;29528 - 32324836;SC;Stephen;Ayers;Jillian Carson;La Libertad;Debito/Credito;469.794;13/01/2025
50714;SO50714;30/04/2024;12/05/2024;12/05/2024;5;29528 - 32324836;SC;Stephen;Ayers;Jillian Carson;;Debito/Credito;469.794;13/01/2025
53471;SO53471;31/07/2024;08/08/2024;08/08/2024;5;29528 - 32324836;SC;Stephen;Ayers;Jillian Carson;La Libertad;Debito/Credito;38496.048;13/01/2025
58921;SO58921;30/10/2024;11/11/2024;11/11/2024;5;29528 - 32324836;SC;Stephen;Ayers;Jillian Carson;La Libertad;Debito/Credito;34435.056;13/01/2025
65178;SO65178;29/01/2025;11/02/2025;10/02/2025;5;29528 - 32324836;SC;Stephen;Ayers;Jillian Carson;La Libertad;Debito/Credito;39291.336;13/01/2025
49456;SO49456;28/01/2024;09/02/2024;09/02/2024;5;29842 - 68530202;SC;Mike;Hines;Shu Ito;Piura;Debito/Credito;624.7205;13/01/2025
50713;SO50713;30/04/2024;12/05/2024;12/05/2024;5;29842 - 68530202;SC;Mike;Hines;Shu Ito;;Debito/Credito;737.7278;13/01/2025
53546;SO53546;31/07/2024;12/08/2024;12/08/2024;5;29842 - 68530202;SC;Mike;Hines;Shu Ito;Piura;Debito/Credito;33869.946;13/01/2025
58995;SO58995;30/10/2024;11/11/2024;11/11/2024;5;29842 - 68530202;SC;Mike;Hines;Shu Ito;Piura;Debito/Credito;35834.142;13/01/2025
65183;SO65183;29/01/2025;06/02/2025;06/02/2025;5;29842 - 68530202;SC;Mike;Hines;Shu Ito;Piura;Debito/Credito;36396.102;13/01/2025
53459;SO53459;31/07/2024;12/08/2024;12/08/2024;5;29485 - 99436136;SC;Catherine;Abel;Linda Mitchell;Piura;Debito/Credito;29133.471;13/01/2025
58907;SO58907;30/10/2024;12/11/2024;11/11/2024;5;29485 - 99436136;SC;Catherine;Abel;Linda Mitchell;Piura;Debito/Credito;28413.4274;13/01/2025
65157;SO65157;29/01/2025;11/02/2025;10/02/2025;5;29485 - 99436136;SC;Catherine;Abel;Linda Mitchell;Piura;Debito/Credito;22021.782;13/01/2025
49457;SO49457;28/01/2024;09/02/2024;09/02/2024;5;30110 - 37078824;SC;Gary;Vargas;Linda Mitchell;Piura;Debito/Credito;67.549;13/01/2025
50719;SO50719;30/04/2024;12/05/2024;12/05/2024;5;30110 - 37078824;SC;Gary;Vargas;Linda Mitchell;Piura;Debito/Credito;425.8598;13/01/2025
49458;SO49458;28/01/2024;05/02/2024;05/02/2024;5;29959 - 9270973;SC;Todd;Logan;Garrett Vargas;Ica;Debito/Credito;198.036;13/01/2025
50710;SO50710;30/04/2024;13/05/2024;12/05/2024;5;29959 - 9270973;SC;Todd;Logan;Garrett Vargas;Ica;Debito/Credito;784.2007;13/01/2025
53488;SO53488;31/07/2024;12/08/2024;12/08/2024;5;29959 - 9270973;SC;Todd;Logan;Garrett Vargas;Ica;Debito/Credito;70.644;13/01/2025
59002;SO59002;30/10/2024;11/11/2024;11/11/2024;5;29959 - 9270973;SC;Todd;Logan;Garrett Vargas;Ica;Debito/Credito;404.664;13/01/2025
65192;SO65192;29/01/2025;12/02/2025;10/02/2025;5;29959 - 9270973;SC;Todd;Logan;Garrett Vargas;Ica;Debito/Credito;358.272;13/01/2025
49465;SO49465;28/01/2024;09/02/2024;09/02/2024;5;29486 - 88220389;SC;Kim;Abercrombie;Michael Blythe;La Libertad;Debito/Credito;41071.8424;13/01/2025
50696;SO50696;30/04/2024;12/05/2024;12/05/2024;5;29486 - 88220389;SC;Kim;Abercrombie;Michael Blythe;La Libertad;Debito/Credito;47192.4665;13/01/2025
53526;SO53526;31/07/2024;12/08/2024;12/08/2024;5;29486 - 88220389;SC;Kim;Abercrombie;Michael Blythe;La Libertad;Debito/Credito;34891.325;13/01/2025
58970;SO58970;30/10/2024;11/11/2024;11/11/2024;5;29486 - 88220389;SC;Kim;Abercrombie;Michael Blythe;;Debito/Credito;27951.6011;13/01/2025
65205;SO65205;29/01/2025;10/02/2025;10/02/2025;5;29486 - 88220389;SC;Kim;Abercrombie;Michael Blythe;La Libertad;Debito/Credito;23388.9006;13/01/2025
49459;SO49459;28/01/2024;09/02/2024;09/02/2024;5;29852 - 30749452;SC;Eddie;Holmes;Jae Pak;Ica;Debito/Credito;648.9054;13/01/2025
49460;SO49460;28/01/2024;09/02/2024;09/02/2024;5;29721 - 2419550;SC;Gary;Drury;Tsvi Reiter;Cusco;Debito/Credito;2186.5347;13/01/2025
50723;SO50723;30/04/2024;13/05/2024;12/05/2024;5;29721 - 2419550;SC;Gary;Drury;Tsvi Reiter;Cusco;Debito/Credito;1531.7112;13/01/2025
53501;SO53501;31/07/2024;13/08/2024;15/08/2024;5;29721 - 2419550;SC;Gary;Drury;Tsvi Reiter;Cusco;Debito/Credito;1130.952;13/01/2025
58989;SO58989;30/10/2024;11/11/2024;15/11/2024;5;29721 - 2419550;SC;Gary;Drury;Tsvi Reiter;Cusco;Debito/Credito;6632.886;13/01/2025
65229;SO65229;29/01/2025;10/02/2025;10/02/2025;5;29721 - 2419550;SC;Gary;Drury;Tsvi Reiter;Cusco;Debito/Credito;4878.798;13/01/2025
49547;SO49547;28/01/2024;09/02/2024;09/02/2024;5;29487 - 16338231;SC;Humberto;Acevedo;Jillian Carson;Arequipa;Debito/Credito;2485.7036;13/01/2025
53620;SO53620;31/07/2024;12/08/2024;12/08/2024;5;29487 - 16338231;SC;Humberto;Acevedo;Jillian Carson;Arequipa;Debito/Credito;1215.582;13/01/2025
59006;SO59006;30/10/2024;08/11/2024;08/11/2024;5;29487 - 16338231;SC;Humberto;Acevedo;Jillian Carson;Arequipa;Debito/Credito;3683.94;13/01/2025
65321;SO65321;29/01/2025;11/02/2025;10/02/2025;5;29487 - 16338231;SC;Humberto;Acevedo;Jillian Carson;Arequipa;Debito/Credito;439.866;13/01/2025
49461;SO49461;28/01/2024;12/02/2024;09/02/2024;5;30019 - 83991702;SC;Matthew;Miller;José Saraiva;Lambayeque;Debito/Credito;182.352;13/01/2025
50686;SO50686;30/04/2024;12/05/2024;12/05/2024;5;30019 - 83991702;SC;Matthew;Miller;Amy Alberts;Lambayeque;Debito/Credito;1502.9869;13/01/2025
53511;SO53511;31/07/2024;13/08/2024;12/08/2024;5;30019 - 83991702;SC;Matthew;Miller;José Saraiva;Lambayeque;Debito/Credito;552.948;13/01/2025
58960;SO58960;30/10/2024;11/11/2024;11/11/2024;5;30019 - 83991702;SC;Matthew;Miller;José Saraiva;Lambayeque;Debito/Credito;5801.934;13/01/2025
65254;SO65254;29/01/2025;04/02/2025;04/02/2025;5;30019 - 83991702;SC;Matthew;Miller;José Saraiva;Lambayeque;Debito/Credito;125.982;13/01/2025
49462;SO49462;28/01/2024;06/02/2024;06/02/2024;5;29847 - 39360868;SC;David;Hodgson;Linda Mitchell;Piura;Debito/Credito;648.9054;13/01/2025
53515;SO53515;31/07/2024;06/08/2024;06/08/2024;5;29847 - 39360868;SC;David;Hodgson;Linda Mitchell;Piura;Debito/Credito;26.724;13/01/2025
59046;SO59046;30/10/2024;11/11/2024;11/11/2024;5;29847 - 39360868;SC;David;Hodgson;Linda Mitchell;Piura;Debito/Credito;559.23;13/01/2025
65289;SO65289;29/01/2025;10/02/2025;10/02/2025;5;29847 - 39360868;SC;David;Hodgson;Linda Mitchell;Piura;Debito/Credito;74.508;13/01/2025
53485;SO53485;31/07/2024;12/08/2024;12/08/2024;5;29488 - 6753653;SC;Pilar;Ackerman;Syed Abbas;Cajamarca;Debito/Credito;57771.7641;13/01/2025
58931;SO58931;30/10/2024;06/11/2024;06/11/2024;5;29488 - 6753653;SC;Pilar;Ackerman;Lynn Tsoflias;Cajamarca;Debito/Credito;49053.4638;13/01/2025
65191;SO65191;29/01/2025;10/02/2025;10/02/2025;5;29488 - 6753653;SC;Pilar;Ackerman;Lynn Tsoflias;;Debito/Credito;56353.869;13/01/2025
49463;SO49463;28/01/2024;06/02/2024;06/02/2024;5;29535 - 21399935;SC;Wayne;Banack;Michael Blythe;Piura;Debito/Credito;2539.6638;13/01/2025
50695;SO50695;30/04/2024;07/05/2024;07/05/2024;5;29535 - 21399935;SC;Wayne;Banack;Michael Blythe;Piura;Debito/Credito;418.512;13/01/2025
53517;SO53517;31/07/2024;13/08/2024;14/08/2024;5;29535 - 21399935;SC;Wayne;Banack;Michael Blythe;Piura;Debito/Credito;158.43;13/01/2025
58964;SO58964;30/10/2024;11/11/2024;11/11/2024;5;29535 - 21399935;SC;Wayne;Banack;Michael Blythe;Piura;Debito/Credito;218.454;13/01/2025
65291;SO65291;29/01/2025;11/02/2025;10/02/2025;5;29535 - 21399935;SC;Wayne;Banack;Michael Blythe;Piura;Debito/Credito;2783.988;13/01/2025
49464;SO49464;28/01/2024;09/02/2024;09/02/2024;5;29559 - 72788821;SC;Robert;Bernacchi;Pamela Ansman-Wolfe;Lima;Debito/Credito;34218.0617;13/01/2025
50693;SO50693;30/04/2024;12/05/2024;12/05/2024;5;29559 - 72788821;SC;Robert;Bernacchi;Pamela Ansman-Wolfe;Lima;Debito/Credito;32195.7427;13/01/2025
53518;SO53518;31/07/2024;08/08/2024;08/08/2024;5;29559 - 72788821;SC;Robert;Bernacchi;Pamela Ansman-Wolfe;Lima;Debito/Credito;87783.9431;13/01/2025
58963;SO58963;30/10/2024;11/11/2024;11/11/2024;5;29559 - 72788821;SC;Robert;Bernacchi;Pamela Ansman-Wolfe;Lima;Debito/Credito;77475.2281;13/01/2025
65200;SO65200;29/01/2025;10/02/2025;10/02/2025;5;29559 - 72788821;SC;Robert;Bernacchi;Pamela Ansman-Wolfe;Lima;Debito/Credito;47069.4121;13/01/2025
49840;SO49840;28/02/2024;06/03/2024;06/03/2024;5;29489 - 10104156417;SC;Frances;Adams;Shu Ito;Piura;Debito/Credito;2131.8743;13/01/2025
51121;SO51121;30/05/2024;11/06/2024;11/06/2024;5;29489 - 10104156417;SC;Frances;Adams;Shu Ito;Piura;Debito/Credito;79635.122;13/01/2025
55264;SO55264;30/08/2024;11/09/2024;13/09/2024;5;29489 - 10104156417;SC;Frances;Adams;Shu Ito;Piura;Debito/Credito;63981.9338;13/01/2025
61227;SO61227;30/11/2024;12/12/2024;12/12/2024;5;29489 - 10104156417;SC;Frances;Adams;Shu Ito;Piura;Debito/Credito;57449.604;13/01/2025
67287;SO67287;01/03/2025;13/03/2025;13/03/2025;5;29489 - 10104156417;SC;Frances;Adams;Shu Ito;Piura;Debito/Credito;74577.1531;13/01/2025
49466;SO49466;28/01/2024;10/02/2024;09/02/2024;5;29856 - 49421238;SC;Joe;Howard;Ranjit Varkey Chudukatil;Áncash;Debito/Credito;8629.0063;13/01/2025
50697;SO50697;30/04/2024;06/05/2024;06/05/2024;5;29856 - 49421238;SC;Joe;Howard;Ranjit Varkey Chudukatil;Áncash;Debito/Credito;7866.7665;13/01/2025
53523;SO53523;31/07/2024;12/08/2024;12/08/2024;5;29856 - 49421238;SC;Joe;Howard;Ranjit Varkey Chudukatil;Áncash;Debito/Credito;3095.994;13/01/2025
58969;SO58969;30/10/2024;12/11/2024;11/11/2024;5;29856 - 49421238;SC;Joe;Howard;Ranjit Varkey Chudukatil;Áncash;Debito/Credito;9700.302;13/01/2025
65208;SO65208;29/01/2025;10/02/2025;10/02/2025;5;29856 - 49421238;SC;Joe;Howard;Ranjit Varkey Chudukatil;Áncash;Debito/Credito;4256.964;13/01/2025
49544;SO49544;28/01/2024;11/02/2024;09/02/2024;5;29490 - 20623461644;SC;Margaret;Smith;David Campbell;Lima;Debito/Credito;405.585;13/01/2025
49467;SO49467;28/01/2024;09/02/2024;09/02/2024;5;29770 - 51535455;SC;Kathleen;Garza;Jae Pak;Ica;Debito/Credito;38254.4351;13/01/2025
50698;SO50698;30/04/2024;12/05/2024;12/05/2024;5;29770 - 51535455;SC;Kathleen;Garza;Jae Pak;Ica;Debito/Credito;26439.9864;13/01/2025
53527;SO53527;31/07/2024;12/08/2024;12/08/2024;5;29770 - 51535455;SC;Kathleen;Garza;Jae Pak;Ica;Debito/Credito;73920.7391;13/01/2025
58972;SO58972;30/10/2024;06/11/2024;06/11/2024;5;29770 - 51535455;SC;Kathleen;Garza;Jae Pak;Ica;Debito/Credito;80691.0075;13/01/2025
65206;SO65206;29/01/2025;10/02/2025;10/02/2025;5;29770 - 51535455;SC;Kathleen;Garza;Jae Pak;Ica;Debito/Credito;68748.4235;13/01/2025
49468;SO49468;28/01/2024;10/02/2024;09/02/2024;5;29649 - 10857533185;SC;Pat;Chambers;Garrett Vargas;Ica;Debito/Credito;36476.2562;13/01/2025
50699;SO50699;30/04/2024;07/05/2024;07/05/2024;5;29649 - 10857533185;SC;Pat;Chambers;Garrett Vargas;Ica;Debito/Credito;28916.5984;13/01/2025
49469;SO49469;28/01/2024;09/02/2024;09/02/2024;5;29730 - 84584146;SC;Linda;Ecoffey;Jae Pak;Ica;Debito/Credito;667.83;13/01/2025
50735;SO50735;30/04/2024;12/05/2024;12/05/2024;5;29730 - 84584146;SC;Linda;Ecoffey;Jae Pak;Ica;Debito/Credito;2003.7163;13/01/2025
53529;SO53529;31/07/2024;12/08/2024;12/08/2024;5;29730 - 84584146;SC;Linda;Ecoffey;Jae Pak;Ica;Debito/Credito;16.272;13/01/2025
59043;SO59043;30/10/2024;14/11/2024;11/11/2024;5;29730 - 84584146;SC;Linda;Ecoffey;Jae Pak;;Debito/Credito;202.332;13/01/2025
49470;SO49470;28/01/2024;09/02/2024;09/02/2024;5;29882 - 10651866;SC;Greg;Johnson;Tsvi Reiter;Cusco;Debito/Credito;546.9942;13/01/2025
50701;SO50701;30/04/2024;06/05/2024;06/05/2024;5;29882 - 10651866;SC;Greg;Johnson;Tsvi Reiter;Cusco;Debito/Credito;777.2902;13/01/2025
50734;SO50734;30/04/2024;09/05/2024;09/05/2024;5;29492 - 56454740;SC;Jay;Adams;Michael Blythe;La Libertad;Debito/Credito;2232.8181;13/01/2025
53561;SO53561;31/07/2024;06/08/2024;06/08/2024;5;29492 - 56454740;SC;Jay;Adams;Michael Blythe;La Libertad;Debito/Credito;48717.09;13/01/2025
59058;SO59058;30/10/2024;12/11/2024;11/11/2024;5;29492 - 56454740;SC;Jay;Adams;Michael Blythe;La Libertad;Debito/Credito;37209.6;13/01/2025
65311;SO65311;29/01/2025;10/02/2025;10/02/2025;5;29492 - 56454740;SC;Jay;Adams;Michael Blythe;La Libertad;Debito/Credito;13768.02;13/01/2025
49471;SO49471;28/01/2024;09/02/2024;09/02/2024;5;30102 - 31957837;SC;Roger;Van Houten;José Saraiva;Lambayeque;Debito/Credito;2525.4469;13/01/2025
59048;SO59048;30/10/2024;12/11/2024;11/11/2024;5;30102 - 31957837;SC;Roger;Van Houten;José Saraiva;Lambayeque;Debito/Credito;338.994;13/01/2025
49472;SO49472;28/01/2024;05/02/2024;05/02/2024;5;29938 - 2179385;SC;Frank;Campbell;Linda Mitchell;Piura;Debito/Credito;14819.6397;13/01/2025
50702;SO50702;30/04/2024;12/05/2024;12/05/2024;5;29938 - 2179385;SC;Frank;Campbell;Linda Mitchell;Piura;Debito/Credito;34930.4656;13/01/2025
53531;SO53531;31/07/2024;12/08/2024;12/08/2024;5;29938 - 2179385;SC;Frank;Campbell;Linda Mitchell;Piura;Debito/Credito;38783.562;13/01/2025
58975;SO58975;30/10/2024;11/11/2024;11/11/2024;5;29938 - 2179385;SC;Frank;Campbell;Linda Mitchell;Piura;Debito/Credito;33623.778;13/01/2025
65209;SO65209;29/01/2025;11/02/2025;10/02/2025;5;29938 - 2179385;SC;Frank;Campbell;Linda Mitchell;Piura;Debito/Credito;12552.204;13/01/2025
49473;SO49473;28/01/2024;11/02/2024;09/02/2024;5;29707 - 10632433347;SC;Helen;Dennis;Jillian Carson;Cusco;Debito/Credito;13841.621;13/01/2025
50703;SO50703;30/04/2024;13/05/2024;12/05/2024;5;29707 - 10632433347;SC;Helen;Dennis;Jillian Carson;Cusco;Debito/Credito;58041.2413;13/01/2025
53530;SO53530;31/07/2024;09/08/2024;09/08/2024;5;29707 - 10632433347;SC;Helen;Dennis;Jillian Carson;Cusco;Debito/Credito;75647.3619;13/01/2025
58974;SO58974;30/10/2024;11/11/2024;11/11/2024;5;29707 - 10632433347;SC;Helen;Dennis;Jillian Carson;;Debito/Credito;34640.0564;13/01/2025
65210;SO65210;29/01/2025;10/02/2025;10/02/2025;5;29707 - 10632433347;SC;Helen;Dennis;Jillian Carson;Cusco;Debito/Credito;14525.8788;13/01/2025
49474;SO49474;28/01/2024;09/02/2024;09/02/2024;5;29758 - 83098902;SC;Dorothy;Fox;Michael Blythe;Piura;Debito/Credito;2472.3107;13/01/2025
65294;SO65294;29/01/2025;04/02/2025;04/02/2025;5;29758 - 83098902;SC;Dorothy;Fox;Stephen Jiang;Piura;Debito/Credito;1376.994;13/01/2025
49475;SO49475;28/01/2024;09/02/2024;09/02/2024;5;29884 - 20272965945;SC;Brian;Johnson;Michael Blythe;La Libertad;Debito/Credito;67.539;13/01/2025
49476;SO49476;28/01/2024;05/02/2024;05/02/2024;5;29746 - 11200469;SC;Fadi;Fakhouri;Jillian Carson;Arequipa;Debito/Credito;17725.0947;13/01/2025
50704;SO50704;30/04/2024;12/05/2024;12/05/2024;5;29746 - 11200469;SC;Fadi;Fakhouri;Jillian Carson;;Debito/Credito;12263.9593;13/01/2025
51805;SO51805;30/06/2024;06/07/2024;06/07/2024;5;29495 - 53723866;SC;James;Aguilar;Rachel Valdez;;Debito/Credito;762.9024;13/01/2025
63206;SO63206;31/12/2024;13/01/2025;12/01/2025;5;29495 - 53723866;SC;James;Aguilar;Rachel Valdez;Junín;Debito/Credito;602.346;13/01/2025
49477;SO49477;28/01/2024;05/02/2024;05/02/2024;5;29663 - 68125672;SC;Alice;Clark;Michael Blythe;La Libertad;Debito/Credito;7046.91;13/01/2025
50705;SO50705;30/04/2024;12/05/2024;12/05/2024;5;29663 - 68125672;SC;Alice;Clark;Michael Blythe;La Libertad;Debito/Credito;10763.151;13/01/2025
49478;SO49478;28/01/2024;03/02/2024;03/02/2024;5;29696 - 10944742613;SC;Alvaro;De Matos Miranda Filho;Shu Ito;Piura;Debito/Credito;1833.8864;13/01/2025
50717;SO50717;30/04/2024;12/05/2024;14/05/2024;5;29696 - 10944742613;SC;Alvaro;De Matos Miranda Filho;Shu Ito;Piura;Debito/Credito;2718.3195;13/01/2025
53538;SO53538;31/07/2024;06/08/2024;06/08/2024;5;29696 - 10944742613;SC;Alvaro;De Matos Miranda Filho;Shu Ito;Piura;Debito/Credito;20607.78;13/01/2025
58982;SO58982;30/10/2024;11/11/2024;11/11/2024;5;29696 - 10944742613;SC;Alvaro;De Matos Miranda Filho;Shu Ito;Piura;Debito/Credito;21305.646;13/01/2025
65167;SO65167;29/01/2025;06/02/2025;06/02/2025;5;29696 - 10944742613;SC;Alvaro;De Matos Miranda Filho;Shu Ito;Piura;Debito/Credito;19300.926;13/01/2025
